geoid,year,median_income,median_rent,population,previous_population,renter_households,rent_burden_pct,dwellings_total,dwellings_single_detached,dwellings_semi_detached,dwellings_row_house,dwellings_apt_duplex,dwellings_apt_low_rise,dwellings_apt_high_rise,owner_households,tenure_renter_households
5350118.00,2021,104000.0,2320.0,3995,4127,1320,52.9,2020,325,60,25,65,420,1125,725,1320
5350119.00,2021,102000.0,1700.0,4856,4630,1375,43.9,2455,435,40,40,45,400,1500,1115,1370
5350120.00,2021,178000.0,1450.0,1418,1381,150,46.4,630,70,150,160,10,155,85,465,150
5350121.00,2021,114000.0,2200.0,3183,2659,740,46.2,1760,115,125,10,30,200,1280,970,735
5350122.00,2021,97000.0,1720.0,6199,6220,2110,47.8,3435,335,170,40,85,960,1845,1375,2110
5350123.00,2021,70000.0,1540.0,2377,2268,1355,43.9,1400,10,0,0,0,10,1375,45,1360
5350124.00,2021,92000.0,1840.0,5529,5416,2160,50.0,3200,115,65,155,75,290,2500,1035,2160
5350125.00,2021,258000.0,1940.0,4270,4442,275,40.0,1540,1045,125,10,115,240,5,1270,280
5350126.00,2021,144000.0,1520.0,4164,4248,515,43.6,1670,580,610,40,50,250,150,1185,515
5350127.00,2021,134000.0,1500.0,5293,5450,705,41.0,2125,795,655,5,40,195,440,1390,705
5350128.02,2021,82000.0,1860.0,12611,8705,4650,46.7,6900,385,135,30,75,690,5580,2240,4645
5350128.04,2021,80000.0,1540.0,4772,4698,1720,43.9,2935,5,0,100,0,75,2755,1270,1720
5350128.05,2021,102000.0,1940.0,1127,945,265,48.1,485,90,35,5,25,170,155,225,265
5350128.06,2021,73500.0,1640.0,4870,4199,2535,44.6,2865,0,0,25,0,45,2800,275,2540
5350129.00,2021,110000.0,1760.0,5642,5770,1420,41.1,2565,800,95,20,205,945,500,1105,1420
5350130.00,2021,196000.0,1880.0,3355,3543,385,38.7,1250,825,35,5,45,270,75,860,385
5350131.00,2021,118000.0,1640.0,5258,5310,975,44.0,2330,855,35,40,25,490,890,1290,975
5350132.00,2021,119000.0,1420.0,5350,5467,955,35.6,2010,860,5,25,100,230,790,1045,950
5350133.00,2021,77500.0,1520.0,7082,7339,2460,40.6,3240,600,5,0,5,140,2485,790,2460
5350134.00,2021,170000.0,2020.0,2911,2959,290,44.8,1020,750,5,10,105,145,5,750,295
5350135.00,2021,82000.0,1620.0,6782,6047,2350,49.5,3430,585,375,35,85,475,1880,1125,2345
5350136.01,2021,70000.0,1660.0,7267,6128,4065,47.4,4265,5,0,30,0,590,3635,470,4060
5350136.02,2021,70000.0,1820.0,8740,4983,3615,45.9,5165,0,10,10,0,295,4840,1280,3620
