geoid,year,housing_starts_total,housing_starts_total_source,housing_completions,housing_completions_source
5350037.00,2021,0,official,243,official
5350037.00,2022,346,official,0,official
5350037.00,2023,528,official,,
5350037.00,2024,0,official,,
5350038.00,2018,11,official,0,official
5350038.00,2019,25,official,11,official
5350038.00,2020,4,official,22,official
5350038.00,2021,1,official,6,official
5350038.00,2022,0,official,0,official
5350038.00,2023,0,official,,
5350038.00,2024,5,official,,
5350039.00,2018,0,official,0,official
5350039.00,2019,0,official,10,official
5350039.00,2020,0,official,0,official
5350039.00,2021,1,official,0,official
5350039.00,2022,0,official,0,official
5350039.00,2023,103,official,,
5350039.00,2024,16,official,,
5350040.00,2018,0,official,0,official
5350040.00,2019,1,official,1,official
5350040.00,2020,1,official,1,official
5350040.00,2021,1,official,1,official
5350040.00,2022,4,official,0,official
5350040.00,2023,2,official,,
5350040.00,2024,0,official,,
5350041.00,2018,0,official,0,official
5350041.00,2019,77,official,0,official
5350041.00,2020,1,official,0,official
5350041.00,2021,580,official,0,official
5350041.00,2022,1,official,78,official
5350041.00,2023,1,official,,
5350041.00,2024,0,official,,
5350042.00,2018,0,official,0,official
5350042.00,2019,2,official,0,official
5350042.00,2020,156,official,2,official
5350042.00,2021,0,official,44,official
5350042.00,2022,0,official,0,official
5350042.00,2023,115,official,,
5350042.00,2024,1,official,,
5350043.00,2018,2,official,1,official
5350043.00,2019,0,official,1,official
5350043.00,2020,1,official,0,official
5350043.00,2021,1,official,2,official
5350043.00,2022,0,official,1,official
5350043.00,2023,0,official,,
5350043.00,2024,2,official,,
5350044.01,2018,0,official,58,estimated_parent
5350044.01,2019,0,official,0,official
5350044.01,2020,53,estimated_parent,0,official
5350044.01,2021,1,estimated_parent,0,official
5350044.01,2022,0,official,0,official
5350044.01,2023,1,official,,
5350044.01,2024,1,official,,
5350044.02,2018,0,official,77,estimated_parent
5350044.02,2019,0,official,0,official
5350044.02,2020,69,estimated_parent,0,official
5350044.02,2021,1,estimated_parent,0,official
5350044.02,2022,0,official,0,official
5350044.02,2023,0,official,,
5350044.02,2024,0,official,,
5350045.00,2018,0,official,1,official
5350045.00,2019,0,official,0,official
5350045.00,2020,0,official,0,official
5350045.00,2021,0,official,0,official
5350045.00,2022,0,official,0,official
5350045.00,2023,3,official,,
5350045.00,2024,0,official,,
5350046.00,2018,36,official,0,official
5350046.00,2019,421,official,36,official
5350046.00,2020,0,official,0,official
5350046.00,2021,0,official,421,official
5350046.00,2022,0,official,0,official
5350046.00,2023,0,official,,
5350046.00,2024,0,official,,
5350047.02,2018,0,official,0,official
5350047.02,2019,0,official,0,official
5350047.02,2020,0,official,0,official
5350047.02,2021,103,official,0,official
5350047.02,2022,3,official,0,official
5350047.02,2023,0,official,,
5350047.02,2024,0,official,,
5350047.03,2018,0,official,0,official
5350047.03,2019,0,official,0,official
5350047.03,2020,0,official,0,official
5350047.03,2021,0,official,0,official
5350047.03,2022,0,official,0,official
5350047.03,2023,0,official,,
5350047.03,2024,0,official,,
5350047.04,2018,0,official,0,official
5350047.04,2019,1,official,1,official
5350047.04,2020,0,official,0,official
5350047.04,2021,0,official,0,official
5350047.04,2022,0,official,0,official
5350047.04,2023,0,official,,
5350047.04,2024,0,official,,
5350048.00,2018,0,official,2,official
5350048.00,2019,0,official,0,official
5350048.00,2020,0,official,0,official
5350048.00,2021,0,official,0,official
5350048.00,2022,0,official,0,official
5350048.00,2023,0,official,,
5350048.00,2024,2,official,,
5350049.00,2018,0,official,0,official
5350049.00,2019,0,official,0,official
5350049.00,2020,0,official,0,official
